1,2,3,4
2018-06-01,6,2017-06-01,-13
2015-08-01,6,2013-11-01,-10
2016-12-01,5,2015-02-01,-8
2016-10-01,5,2014-10-01,-8
2015-03-01,5,2017-02-01,-7
2017-07-01,4,2016-09-01,-7
2016-01-01,4,2015-06-01,-7
2015-01-01,4,2018-03-01,-6
2014-07-01,4,2014-09-01,-6
2014-04-01,4,2016-11-01,-5
